Current_Year,Current_Month,1st_year,1st_month,China_EB1,2nd_year,2nd_month,China_EB2,3rd_year,3rd_month,China_EB3
2002,9,C ,C ,0,C ,C ,0,C ,C ,0
2002,10,C ,C ,0,C ,C ,0,C ,C ,0
2002,11,C ,C ,0,C ,C ,0,C ,C ,0
2002,12,C ,C ,0,C ,C ,0,C ,C ,0
2003,1,C ,C ,0,C ,C ,0,C ,C ,0
2003,2,C ,C ,0,C ,C ,0,C ,C ,0
2003,3,C ,C ,0,C ,C ,0,C ,C ,0
2003,4,C ,C ,0,C ,C ,0,C ,C ,0
2003,5,C ,C ,0,C ,C ,0,C ,C ,0
2003,6,C ,C ,0,C ,C ,0,C ,C ,0
2003,7,C ,C ,0,C ,C ,0,C ,C ,0
2003,8,C ,C ,0,C ,C ,0,C ,C ,0
2003,9,C ,C ,0,C ,C ,0,C ,C ,0
2003,10,C ,C ,0,C ,C ,0,C ,C ,0
2003,11,C ,C ,0,C ,C ,0,C ,C ,0
2003,12,C ,C ,0,C ,C ,0,C ,C ,0
2004,1,C ,C ,0,C ,C ,0,C ,C ,0
2004,2,C ,C ,0,C ,C ,0,C ,C ,0
2004,3,C ,C ,0,C ,C ,0,C ,C ,0
2004,4,C ,C ,0,C ,C ,0,C ,C ,0
2004,5,C ,C ,0,C ,C ,0,C ,C ,0
2004,6,C ,C ,0,C ,C ,0,C ,C ,0
2004,7,C ,C ,0,C ,C ,0,C ,C ,0
2004,8,C ,C ,0,C ,C ,0,C ,C ,0
2004,9,C ,C ,0,C ,C ,0,C ,C ,0
2004,10,C ,C ,0,C ,C ,0,C ,C ,0
2004,11,C ,C ,0,C ,C ,0,C ,C ,0
2004,12,C ,C ,0,C ,C ,0,C ,C ,0
2005,1,C ,C ,0,C ,C ,0,2002,1,36
2005,2,C ,C ,0,C ,C ,0,2002,1,37
2005,3,C ,C ,0,C ,C ,0,2002,3,36
2005,4,C ,C ,0,C ,C ,0,2002,4,36
2005,5,C ,C ,0,C ,C ,0,2002,6,35
2005,6,C ,C ,0,C ,C ,0,2002,6,36
2005,7,C ,C ,0,C ,C ,0,U ,U ,0
2005,8,C ,C ,0,C ,C ,0,U ,U ,0
2005,9,C ,C ,0,C ,C ,0,U ,U ,0
2005,10,2000,1,69,2000,5,65,2000,5,65
2005,11,2000,1,70,2000,5,66,2000,5,66
2005,12,2001,7,53,2001,2,58,2001,1,59
2006,1,2002,1,48,2001,6,55,2001,4,57
2006,2,2003,1,37,2002,4,46,2001,4,58
2006,3,2003,7,32,2002,7,44,2001,5,58
2006,4,2004,1,27,2003,1,39,2001,5,59
2006,5,2004,7,22,2004,1,28,2001,5,60
2006,6,2005,7,11,2004,7,23,2001,7,59
2006,7,C ,C ,0,2005,3,16,2001,10,57
2006,8,C ,C ,0,2005,3,17,2001,10,58
2006,9,C ,C ,0,2005,3,18,2002,3,54
2006,10,C ,C ,0,2005,4,18,2002,5,53
2006,11,C ,C ,0,2005,4,19,2002,7,52
2006,12,C ,C ,0,2005,4,20,2002,8,52
2007,1,C ,C ,0,2005,4,21,2002,8,53
2007,2,C ,C ,0,2005,4,22,2002,8,54
2007,3,C ,C ,0,2005,4,23,2002,8,55
2007,4,C ,C ,0,2005,4,24,2002,8,56
2007,5,C ,C ,0,2005,4,25,2002,8,57
2007,6,C ,C ,0,2006,1,17,2003,6,48
2007,7,C ,C ,0,C ,C ,0,C ,C ,0
2007,8,U ,U ,0,U ,U ,0,U ,U ,0
2007,9,2007,1,8,2006,1,20,U ,U ,0
2007,10,C ,C ,0,2006,1,21,2001,9,73
2007,11,C ,C ,0,2006,1,22,2001,9,74
2007,12,C ,C ,0,2003,1,59,2001,10,74
2008,1,C ,C ,0,2003,1,60,2001,11,74
2008,2,C ,C ,0,2003,1,61,2001,11,75
2008,3,C ,C ,0,2003,12,51,2002,12,63
2008,4,C ,C ,0,2003,12,52,2003,2,62
2008,5,C ,C ,0,2004,1,52,2003,3,62
2008,6,C ,C ,0,2004,4,50,2003,3,63
2008,7,C ,C ,0,2004,4,51,U ,U ,0
2008,8,C ,C ,0,2006,6,26,U ,U ,0
2008,9,C ,C ,0,2006,8,25,U ,U ,0
2008,10,C ,C ,0,2004,4,54,2001,10,84
2008,11,C ,C ,0,2004,6,53,2002,2,81
2008,12,C ,C ,0,2004,6,54,2002,2,82
2009,1,C ,C ,0,2004,7,54,2002,6,79
2009,2,C ,C ,0,2005,1,49,2002,10,76
2009,3,C ,C ,0,2005,2,49,2002,10,77
2009,4,C ,C ,0,2005,2,50,2003,3,73
2009,5,C ,C ,0,2005,2,51,U ,U ,0
2009,6,C ,C ,0,2005,2,52,U ,U ,0
2009,7,C ,C ,0,2000,1,114,U ,U ,0
2009,8,C ,C ,0,2003,10,70,U ,U ,0
2009,9,C ,C ,0,2005,1,56,U ,U ,0
2009,10,C ,C ,0,2005,3,55,2002,2,92
2009,11,C ,C ,0,2005,4,55,2002,6,89
2009,12,C ,C ,0,2005,4,56,2002,6,90
2010,1,C ,C ,0,2005,5,56,2002,8,89
2010,2,C ,C ,0,2005,5,57,2002,9,89
2010,3,C ,C ,0,2005,7,56,2002,12,87
2010,4,C ,C ,0,2005,8,56,2003,2,86
2010,5,C ,C ,0,2005,9,56,2003,4,85
2010,6,C ,C ,0,2005,11,55,2003,6,84
2010,7,C ,C ,0,2005,11,56,2003,8,83
2010,8,C ,C ,0,2006,3,53,2003,9,83
2010,9,C ,C ,0,2006,5,52,2003,10,83
2010,10,C ,C ,0,2006,5,53,2003,11,83
2010,11,C ,C ,0,2006,6,53,2003,11,84
2010,12,C ,C ,0,2006,6,54,2003,12,84
2011,1,C ,C ,0,2006,6,55,2003,12,85
2011,2,C ,C ,0,2006,7,55,2004,1,85
2011,3,C ,C ,0,2006,7,56,2004,1,86
2011,4,C ,C ,0,2006,7,57,2004,3,85
2011,5,C ,C ,0,2006,8,57,2004,4,85
2011,6,C ,C ,0,2006,10,56,2004,5,85
2011,7,C ,C ,0,2007,3,52,2004,7,84
2011,8,C ,C ,0,2007,4,52,2004,7,85
2011,9,C ,C ,0,2007,4,53,2004,7,86
2011,10,C ,C ,0,2007,7,51,2004,8,86
2011,11,C ,C ,0,2007,11,48,2004,8,87
2011,12,C ,C ,0,2008,3,45,2004,9,87
